name,highway,road_type,lane_count,speed_limit,capacity_vph,fhsz_zone,hazard_degradation,effective_capacity_vph,baseline_demand_vph,vc_ratio,los,connectivity_score,catchment_units,demand_source,catchment_hu,catchment_employees,resident_demand_vph,employee_demand_vph,student_demand_vph,length_meters,lane_count_estimated,speed_estimated,aadt_estimated
Piedmont Avenue,residential,two_lane,1,25,1125.0,non_fhsz,1.0,1125.0,1041.3899999999999,0.9256799999999998,E,1,609.0,catchment_based,3298,2809,3571.7339999999995,2809.0,0.0,101.03272234394699,True,False,True
Piedmont Avenue,residential,two_lane,1,25,1125.0,non_fhsz,1.0,1125.0,1041.3899999999999,0.9256799999999998,E,1,609.0,catchment_based,3282,2501,3554.4059999999995,2501.0,0.0,99.26728970405455,True,False,True
Gilman Street,secondary,multilane,2,25,3800.0,non_fhsz,1.0,3800.0,28734.84,7.5618,F,35,16804.0,catchment_based,1484,6421,1607.1719999999998,6421.0,0.0,57.95304125263721,False,False,True
Gilman Street,secondary,multilane,2,25,3800.0,non_fhsz,1.0,3800.0,28734.84,7.5618,F,35,16804.0,catchment_based,2072,6531,2243.9759999999997,6531.0,0.0,75.93715250907059,False,False,True
Creston Road,residential,two_lane,2,25,1125.0,vhfhsz,0.35,393.75,1106.37,0.9834399999999999,F,1,647.0,catchment_based,2041,994,2210.403,994.0,0.0,144.54177241550235,False,False,True
Sunset Lane,residential,two_lane,1,25,1125.0,vhfhsz,0.35,393.75,454.86,0.40432,D,1,266.0,catchment_based,2041,994,2210.403,994.0,0.0,49.73843641983165,True,False,True
Sunset Lane,residential,two_lane,1,25,1125.0,vhfhsz,0.35,393.75,454.86,0.40432,D,1,266.0,catchment_based,2041,994,2210.403,994.0,0.0,47.457875883867395,True,False,True
Creston Road,residential,two_lane,2,25,1125.0,vhfhsz,0.35,393.75,1106.37,0.9834399999999999,F,1,647.0,catchment_based,2041,994,2210.403,994.0,0.0,53.43438290498088,False,False,True
Creston Road,residential,two_lane,2,25,1125.0,vhfhsz,0.35,393.75,1106.37,0.9834399999999999,F,1,647.0,catchment_based,2041,994,2210.403,994.0,0.0,144.54177241550235,False,False,True
Marin Avenue,residential,two_lane,1,25,1125.0,vhfhsz,0.35,393.75,1106.37,0.9834399999999999,F,1,647.0,catchment_based,2041,994,2210.403,994.0,0.0,100.97781565194147,False,False,True
Creston Road,residential,two_lane,2,25,1125.0,vhfhsz,0.35,393.75,1106.37,0.9834399999999999,F,1,647.0,catchment_based,2479,1074,2684.7569999999996,1074.0,0.0,410.16147369612014,False,False,True
